peak_g_mag,std_g_mag,peak_hp8_vertical,peak_jerk_mag,max_elevated_dur,is_event,impact_timestamp_iso8601,impact_elapsed_sec,impact_source_sample_idx,source_folder,athlete_name
15.23239,1.7448685378670046,3.8928129330833374,1353.931105537948,0.051,True,2026-06-24T19:29:53.532Z,6160.499,6782,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.36772,0.8667763148579982,1.7619662404558991,539.2663654948266,0.02,False,2026-06-24T19:29:54.337Z,6161.304,6863,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.29769,1.3416448684475943,1.8812514228904165,305.48777283714645,0.035,False,2026-06-24T19:29:55.303Z,6162.27,6960,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
13.90669,2.218826419665313,7.918948712426663,77042.04306740563,0.065,True,2026-06-24T19:29:57.582Z,6164.549,7189,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.83677,1.2079284657950067,2.239936050499645,513.4892296407005,0.03,False,2026-06-24T19:29:58.577Z,6165.544,7289,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
11.27128,1.3759291384510153,3.247388198345696,1112.0015564759608,0.04,False,2026-06-24T19:41:29.066Z,6856.033,7376,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
4.91739,1.0478059539255358,2.240859796400808,468.2056100807754,0.02,False,2026-06-24T19:41:29.902Z,6856.869,7460,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
12.22127,1.7847497522381226,7.012360148117286,2090.0007021624438,0.04,True,2026-06-24T19:41:30.769Z,6857.736,7547,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
4.40622,0.9952096389683358,1.8869782973295512,304.2686289876102,0.0,False,2026-06-24T19:41:31.604Z,6858.571,7631,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.69775,1.1539801856291867,1.0323311070329175,527594.7719604506,0.021,False,2026-06-24T19:41:32.962Z,6859.929,7768,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.69775,1.152535003252851,1.6650172625004234,527594.7719604506,0.03,False,2026-06-24T19:41:33.421Z,6860.388,7814,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.19933,1.0901176797022267,1.7298205718643764,527594.7719604506,0.03,False,2026-06-24T19:41:33.747Z,6860.714,7847,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.06884,1.1101635790134534,1.771018462738798,259.40290549692565,0.031,False,2026-06-24T19:41:34.673Z,6861.64,7940,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
12.46272,1.9536832729518774,3.3684992844249417,1125.5013363359458,0.085,True,2026-06-24T19:41:37.247Z,6864.214,8198,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
9.47845,1.8519133109925598,3.456650573389019,535.3980441296469,0.05,False,2026-06-24T19:41:38.950Z,6865.917,8369,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
