peak_g_mag,std_g_mag,peak_sma150,peak_hp8_vertical,peak_rms150,peak_jerk_mag,max_elevated_dur,peak_hp8_planar,pitch_range,rot_x_range,is_event,impact_timestamp_iso8601,impact_elapsed_sec,impact_source_sample_idx,source_folder,athlete_name
5.34474,1.0768263507630942,5.379551875,1.7838466948606213,4.498405221633412,375.20515575348907,0.038,1.840766693381591,0.77526,11.97917,False,2026-06-24T18:27:36.595Z,2423.562,544,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.35688,1.1407387745189737,4.439527333333333,3.640942615435797,3.622494560088853,391.7634215181976,0.02,2.148370275255176,0.77123,10.10806,False,2026-06-24T18:27:37.461Z,2424.428,631,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
13.55335,2.3057647037127675,7.943808,3.960136151458873,6.936475208462869,1461.7216004718546,0.1,4.747454084135656,0.55825,15.232429999999999,True,2026-06-24T18:27:40.148Z,2427.115,901,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.19846,1.4372910482644732,5.88901625,2.7885879744210644,4.13647176375063,15160.280340415917,0.021,1.7185180769112407,0.9656600000000001,7.99811,False,2026-06-24T18:27:41.641Z,2428.608,1051,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
14.76993,2.2885034282225876,7.92769375,2.0886472075437723,6.612106964889986,1236.2089168930954,0.079,6.642241355918953,0.66346,15.94415,True,2026-06-24T18:27:44.109Z,2431.076,1299,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.34441,1.0101660781263977,3.281245333333333,2.4640370611888103,2.7311406861126724,300.4118129651362,0.02,1.3272238535556613,0.30738,7.170389999999999,False,2026-06-24T18:27:45.417Z,2432.384,1431,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.9963,1.5717862686469144,6.595212666666667,3.7266767218329977,4.552204220140685,598.0367387962046,0.029,2.2720292587654973,0.86917,7.457050000000001,False,2026-06-24T18:42:49.982Z,3336.949,1650,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
25.09862,3.1052853192885244,9.375952666666668,12.79208981720494,9.22566764476371,2154.40285042663,0.069,8.743956104694334,1.2900099999999999,30.953470000000003,True,2026-06-24T18:42:52.341Z,3339.308,1887,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.77745,1.2936942246024685,3.8831566666666655,1.6711044895344305,3.1960044160597363,581335.967750147,0.017,3.846190026074296,1.10542,8.99533,False,2026-06-24T18:42:54.520Z,3341.487,2106,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
18.11513,2.3045029357552775,7.791785625,4.184233339942067,6.867342874144901,8761436.975627914,0.099,10.12393329893571,0.56484,15.741109999999999,True,2026-06-24T18:42:56.411Z,3343.378,2296,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
